Date,Time,D0Q4
7/29/22,10:11:00,18
7/29/22,10:13:00,18
7/29/22,10:15:00,17.5
7/29/22,10:17:00,17.5
7/29/22,10:19:00,17.5
7/29/22,10:21:00,17.5
7/29/22,10:23:00,17
7/29/22,10:25:00,17
7/29/22,10:27:00,17.5
7/29/22,10:29:00,17.5
7/29/22,10:31:00,17.5
7/29/22,10:33:00,17.5
7/29/22,10:35:00,17.5
7/29/22,10:37:00,17
7/29/22,10:39:00,17
7/29/22,10:41:00,17
7/29/22,10:43:00,17
7/29/22,10:45:00,17
7/29/22,10:47:00,17
7/29/22,10:49:00,16.5
7/29/22,10:51:00,16.5
7/29/22,10:53:00,16.5
7/29/22,10:55:00,17
7/29/22,10:57:00,17
7/29/22,10:59:00,18
7/29/22,11:01:00,19.5
7/29/22,11:03:00,19.5
7/29/22,11:05:00,19
7/29/22,11:07:00,18.5
7/29/22,11:09:00,19
7/29/22,11:11:00,24
7/29/22,11:13:00,30
7/29/22,11:15:00,30.5
7/29/22,11:17:00,30
7/29/22,11:19:00,30.5
7/29/22,11:21:00,30
7/29/22,11:23:00,29.5
7/29/22,11:25:00,29.5
7/29/22,11:27:00,30.5
7/29/22,11:29:00,31.5
7/29/22,11:31:00,32
7/29/22,11:33:00,33.5
7/29/22,11:35:00,33.5
7/29/22,11:37:00,33.5
7/29/22,11:39:00,32.5
7/29/22,11:41:00,33
7/29/22,11:43:00,33.5
7/29/22,11:45:00,33.5
7/29/22,11:47:00,33.5
7/29/22,11:49:00,33.5
7/29/22,11:51:00,33
7/29/22,11:53:00,34
7/29/22,11:55:00,34
7/29/22,11:57:00,33.5
7/29/22,11:59:00,34.5
7/29/22,12:01:00,34.5
7/29/22,12:03:00,35
7/29/22,12:05:00,33
7/29/22,12:07:00,34
7/29/22,12:09:00,34.5
7/29/22,12:11:00,34.5
7/29/22,12:13:00,34.5
7/29/22,12:15:00,35
7/29/22,12:17:00,35
7/29/22,12:19:00,35
7/29/22,12:21:00,35
7/29/22,12:23:00,33
7/29/22,12:25:00,30
7/29/22,12:27:00,28.5
7/29/22,12:29:00,27.5
